Sl No,NO OF ACCIDENT REPORTED ON THIS CORRIDOR UNDER JURISDICTION,FIR NO,Latitude,Longitude,Distance,NO. OF VEHICLE,Date,DAY OF THE WEEK,Month of the year,Year of Accident,Time,D/N,PATTERN OF COLLISION,TYPE OF COLLISION,TYPE OF VEHICLE-1,TYPE OF VEHICLE-2,FATAL,GRIEVOUS,MINOR,SEVERITY,GEOMETRY,PRESENCE OF MEDIAN,PRESENCE OF SHOULDER,PRESENCE OF FOOTPATH,SIDE ROAD,JN/NOT,day_night_label,year,month_num,day,day_of_week,week_of_year,hour,minute,time_bucket,PATTERN_OF_COLLISION_CODE,PATTERN_OF_COLLISION_LABEL,PATTERN_OF_COLLISION_UNKNOWN,TYPE_OF_COLLISION_CODE,TYPE_OF_COLLISION_LABEL,TYPE_OF_COLLISION_UNKNOWN,TYPE_OF_VEHICLE_1_CODE,TYPE_OF_VEHICLE_1_LABEL,TYPE_OF_VEHICLE_1_UNKNOWN,TYPE_OF_VEHICLE_2_CODE,TYPE_OF_VEHICLE_2_LABEL,TYPE_OF_VEHICLE_2_UNKNOWN,is_weekend,is_night,severity_target
1.0,Kazhakootam,204/2023,8.582146,76.863346,0.1,2.0,2023-02-08,Wednesday,February,2023,8.5,D,2.0,1,4.0,1.0,0.0,1.0,0.0,G,straight,no,yes,yes,0.0,yes,Day,2023.0,2,8,Wednesday,6,8.0,50.0,6-12,2,Vehicle to Vehicle,False,1,Hit from Back,False,4,Bus,False,1,Motorised Two-Wheeler,False,0,0,Grievous
2.0,Kazhakootam,0498/2021,8.582146,76.863346,0.1,1.0,2021-03-16,Tuesday,March,16-03-2021,11.15,D,1.0,4,2.0,0.0,0.0,1.0,0.0,G,straight,no,yes,yes,0.0,yes,Day,2021.0,3,16,Tuesday,11,11.0,15.0,6-12,1,Single Vehicle,False,4,Vehicle Overturn/Skidding,False,2,Passenger Auto,False,0,Unknown/Out-of-master,True,0,0,Grievous
3.0,Kazhakootam,1306/2021,8.582146,76.863346,0.1,1.0,2021-05-29,Saturday,May,2021,3.45,D,3.0,8,1.0,11.0,0.0,0.0,1.0,M,straight,no,yes,yes,0.0,yes,Day,2021.0,5,29,Saturday,21,3.0,45.0,0-6,3,Vehicle to Pedestrian,False,8,Hit Pedestrian,False,1,Motorised Two-Wheeler,False,11,Pedestrian,False,1,1,Minor
4.0,Kazhakootam,352/2023,8.583844,76.866737,0.5,2.0,2023-02-09,Thursday,February,2023,19.15,N,2.0,2,3.0,1.0,0.0,1.0,0.0,G,straight,no,yes,yes,2.0,yes,Night,2023.0,2,9,Thursday,6,19.0,15.0,18-24,2,Vehicle to Vehicle,False,2,Hit from Side,False,3,Car/Jeep/Taxi,False,1,Motorised Two-Wheeler,False,0,1,Grievous
5.0,Kazhakootam,847/2023,8.587224,76.876943,1.7,2.0,2023-05-31,Wednesday,May,2023,13.15,D,2.0,2,1.0,1.0,0.0,1.0,0.0,G,curve,no,yes,no,0.0,yes,Day,2023.0,5,31,Wednesday,22,13.0,15.0,12-18,2,Vehicle to Vehicle,False,2,Hit from Side,False,1,Motorised Two-Wheeler,False,1,Motorised Two-Wheeler,False,0,0,Grievous
6.0,Kazhakootam,1115/2023,8.583844,76.866737,0.5,2.0,2023-07-31,Monday,July,2023,20.3,N,2.0,2,3.0,1.0,0.0,1.0,0.0,G,straight,no,yes,yes,2.0,yes,Night,2023.0,7,31,Monday,31,20.0,30.0,18-24,2,Vehicle to Vehicle,False,2,Hit from Side,False,3,Car/Jeep/Taxi,False,1,Motorised Two-Wheeler,False,0,1,Grievous
7.0,Kazhakootam,2493/2021,8.58458647741501,76.8685148981499,0.7,2.0,2021-10-14,Thursday,October,2021,20.0,N,2.0,2,3.0,1.0,0.0,1.0,0.0,G,straight,no,yes,yes,1.0,yes,Night,2021.0,10,14,Thursday,41,20.0,0.0,18-24,2,Vehicle to Vehicle,False,2,Hit from Side,False,3,Car/Jeep/Taxi,False,1,Motorised Two-Wheeler,False,0,1,Grievous
8.0,Kazhakootam,1136/2023,8.587224,76.876943,1.7,2.0,2023-07-23,Sunday,July,2023,14.15,D,2.0,5,12.0,1.0,0.0,2.0,0.0,G,curve,no,yes,no,0.0,yes,Day,2023.0,7,23,Sunday,29,14.0,15.0,12-18,2,Vehicle to Vehicle,False,5,Head On Collision,False,12,Unknown Vehicle,False,1,Motorised Two-Wheeler,False,1,0,Grievous
9.0,Kazhakootam,1326/2021,8.587224,76.876943,1.7,2.0,2021-06-01,Tuesday,June,2021,18.0,D,2.0,2,1.0,1.0,0.0,1.0,0.0,G,curve,no,yes,no,0.0,yes,Day,2021.0,6,1,Tuesday,22,18.0,0.0,18-24,2,Vehicle to Vehicle,False,2,Hit from Side,False,1,Motorised Two-Wheeler,False,1,Motorised Two-Wheeler,False,0,0,Grievous
10.0,Kazhakootam,1619/2021,8.587224,76.876943,1.7,3.0,2021-07-08,Thursday,July,2021,8.45,D,2.0,5,1.0,1.0,0.0,1.0,1.0,G,curve,no,yes,no,0.0,yes,Day,2021.0,7,8,Thursday,27,8.0,45.0,6-12,2,Vehicle to Vehicle,False,5,Head On Collision,False,1,Motorised Two-Wheeler,False,1,Motorised Two-Wheeler,False,0,0,Grievous
