iter	MultiClass
0	1.067115792
1	1.036680993
2	1.008608526
3	0.9818885184
4	0.9554648055
5	0.9313720477
6	0.9104144777
7	0.8914736271
8	0.8749655022
9	0.8596827075
10	0.8468382175
11	0.8352203699
12	0.8212174622
13	0.8090152943
14	0.7974597419
15	0.7867291466
16	0.7761843141
17	0.7662947939
18	0.7579389653
19	0.7502976481
20	0.7436025577
21	0.7368107941
22	0.7298652174
23	0.7231860868
24	0.7165750354
25	0.7108904152
26	0.7053293241
27	0.7000094908
28	0.6959641565
29	0.6909817107
30	0.6863420893
31	0.6818681423
32	0.6784889583
33	0.675393139
34	0.6711443736
35	0.6672076597
36	0.6636070353
37	0.6607385923
38	0.6573110138
39	0.653707539
40	0.6506725602
41	0.6465312719
42	0.6436315027
43	0.6406501789
44	0.6369234904
45	0.6341705596
46	0.6319647893
47	0.6291934241
48	0.6264770836
49	0.6240278889
50	0.6206210497
51	0.6181824199
52	0.6159582061
53	0.6126661514
54	0.6098667662
55	0.6066937464
56	0.603672314
57	0.6006624952
58	0.5977557687
59	0.5958628695
60	0.5950839342
61	0.5935449983
62	0.5904865852
63	0.5896083602
64	0.5880103796
65	0.585613923
66	0.5846033064
67	0.5826662509
68	0.5806112677
69	0.5790874935
70	0.57819438
71	0.575995918
72	0.5730894733
73	0.5715917078
74	0.5705764027
75	0.5683932565
76	0.5665239648
77	0.5637749614
78	0.5620118139
79	0.5606829424
80	0.5584344931
81	0.5565277857
82	0.5543462665
83	0.5526563522
84	0.5508353581
85	0.5489110742
86	0.5485103112
87	0.5460366338
88	0.5441716147
89	0.5416468781
90	0.5392006544
91	0.5376843298
92	0.5358977694
93	0.5341706341
94	0.5323922094
95	0.531265017
96	0.5293441091
97	0.5278888484
98	0.5269536232
99	0.5244187665
100	0.5229562352
101	0.5213572072
102	0.5195121727
103	0.5182873122
104	0.5167211176
105	0.5149368261
106	0.5133281769
107	0.511681009
108	0.5102626167
109	0.5082092321
110	0.5069803838
111	0.5052975876
112	0.5031118903
113	0.5015296688
114	0.4991997623
115	0.4975837031
116	0.4961616748
117	0.4945115118
118	0.4927894961
119	0.490979707
120	0.4893285005
121	0.4875710088
122	0.4858988484
123	0.4846936477
124	0.4834817019
125	0.4813392106
126	0.479692439
127	0.4784839043
128	0.4764200484
129	0.4755338232
130	0.4735607832
131	0.4712114754
132	0.4697702287
133	0.4687552272
134	0.4676752788
135	0.4665556656
136	0.4653374002
137	0.4642911342
138	0.4620747623
139	0.4609540226
140	0.4595507168
141	0.4575207188
142	0.4560482364
143	0.4549194009
144	0.4532992334
145	0.4524708026
146	0.4514298058
147	0.4497162098
148	0.4484079793
149	0.4469417187
150	0.4451581685
151	0.4442176372
152	0.4427875305
153	0.4410517795
154	0.4394775088
155	0.4381619184
156	0.4360350279
157	0.4343496416
158	0.4332033333
159	0.4313427827
160	0.4300426563
161	0.4286437393
162	0.4269401053
163	0.425473341
164	0.4238982177
165	0.4226259164
166	0.4217550779
167	0.4209210115
168	0.4193023355
169	0.4177677615
170	0.4166881286
171	0.41562419
172	0.4142122722
173	0.4128789127
174	0.4119044837
175	0.4107605006
176	0.4089060748
177	0.4080114284
178	0.4059801473
179	0.4048862309
180	0.403274608
181	0.4017649865
182	0.4005158458
183	0.3992438799
184	0.398137236
185	0.3970766272
186	0.3963397125
187	0.3955065585
188	0.3942956114
189	0.3924833917
190	0.3916025492
191	0.3906497117
192	0.3893359444
193	0.3879128767
194	0.3869145017
195	0.3853967764
196	0.3846510057
197	0.3835364842
198	0.3826811447
199	0.3811396639
200	0.3802486338
201	0.3791222399
202	0.377911354
203	0.3767929175
204	0.3757528443
205	0.374554822
206	0.3740400751
207	0.3728301815
208	0.3712191877
209	0.3706015657
210	0.3699558934
211	0.3688446198
212	0.3677218098
213	0.3665010451
214	0.365712017
215	0.3647855625
216	0.3634428939
217	0.3627436956
218	0.3621772396
219	0.3611474247
220	0.3598260123
221	0.3592868468
222	0.3582926528
223	0.357252036
224	0.3563245588
225	0.3556823924
226	0.354546448
227	0.3537791627
228	0.3526241153
229	0.3519300719
230	0.3510291986
231	0.3496401106
232	0.348695293
233	0.3474334902
234	0.3460444537
235	0.3449917531
236	0.3440301292
237	0.3429389194
238	0.3415799333
239	0.3404721924
240	0.3399574448
241	0.3391797075
242	0.3386641261
243	0.3381005427
244	0.3371888434
245	0.3362095235
246	0.3349620919
247	0.3337375016
248	0.3323902336
249	0.3311925988
