iter	Passed	Remaining
0	18	4717
1	34	4221
2	51	4263
3	68	4238
4	82	4056
5	83	3415
6	99	3459
7	115	3508
8	137	3695
9	185	4444
10	224	4886
11	258	5132
12	288	5253
13	321	5420
14	325	5102
15	331	4850
16	370	5075
17	494	6379
18	550	6689
19	591	6801
20	626	6834
21	634	6579
22	638	6300
23	674	6354
24	712	6416
25	745	6422
26	783	6470
27	818	6491
28	855	6519
29	893	6550
30	930	6576
31	966	6583
32	996	6554
33	1028	6533
34	1066	6553
35	1098	6528
36	1128	6493
37	1161	6479
38	1195	6466
39	1230	6460
40	1263	6441
41	1296	6420
42	1326	6387
43	1364	6388
44	1396	6363
45	1427	6329
46	1459	6302
47	1489	6266
48	1521	6242
49	1556	6225
50	1590	6204
51	1619	6167
52	1651	6139
53	1683	6109
54	1714	6079
55	1747	6052
56	1777	6018
57	1815	6011
58	1851	5994
59	1886	5974
60	1891	5859
61	1921	5825
62	1948	5783
63	1978	5749
64	2010	5720
65	2040	5689
66	2049	5598
67	2083	5575
68	2115	5549
69	2151	5533
70	2186	5512
71	2224	5498
72	2262	5484
73	2297	5465
74	2334	5447
75	2376	5440
76	2416	5428
77	2451	5406
78	2486	5382
79	2521	5358
80	2561	5343
81	2603	5334
82	2643	5319
83	2685	5306
84	2724	5288
85	2762	5268
86	2767	5184
87	2818	5187
88	2859	5172
89	2891	5140
90	2925	5111
91	2957	5079
92	2988	5045
93	3023	5018
94	3056	4987
95	3086	4950
96	3115	4914
97	3148	4883
98	3178	4847
99	3207	4811
100	3240	4779
101	3271	4747
102	3303	4714
103	3333	4680
104	3359	4639
105	3389	4604
106	3421	4573
107	3452	4538
108	3481	4503
109	3512	4470
110	3544	4438
111	3575	4406
112	3606	4372
113	3637	4338
114	3667	4305
115	3701	4275
116	3734	4245
117	3766	4213
118	3799	4182
119	3831	4150
120	3862	4117
121	3894	4085
122	3925	4053
123	3961	4025
124	3998	3998
125	4031	3967
126	4060	3933
127	4094	3902
128	4125	3869
129	4157	3837
130	4194	3810
131	4226	3777
132	4260	3747
133	4291	3715
134	4329	3688
135	4364	3658
136	4398	3628
137	4432	3597
138	4468	3568
139	4502	3537
140	4534	3505
141	4568	3474
142	4602	3443
143	4633	3410
144	4664	3377
145	4698	3346
146	4733	3316
147	4763	3282
148	4795	3250
149	4827	3218
150	4859	3186
151	4890	3153
152	4921	3120
153	4953	3087
154	4984	3055
155	5014	3021
156	5047	2989
157	5076	2955
158	5109	2924
159	5139	2891
160	5170	2858
161	5199	2824
162	5229	2791
163	5259	2758
164	5287	2723
165	5315	2689
166	5346	2657
167	5377	2624
168	5406	2591
169	5438	2559
170	5468	2526
171	5503	2495
172	5533	2463
173	5562	2429
174	5592	2396
175	5622	2364
176	5652	2331
177	5684	2299
178	5719	2268
179	5754	2237
180	5788	2206
181	5824	2176
182	5862	2146
183	5902	2117
184	5941	2087
185	5975	2056
186	6009	2024
187	6040	1992
188	6072	1960
189	6109	1929
190	6139	1896
191	6172	1864
192	6209	1833
193	6248	1803
194	6284	1772
195	6318	1740
196	6355	1709
197	6394	1679
198	6427	1647
199	6467	1616
200	6501	1585
201	6544	1555
202	6584	1524
203	6623	1493
204	6657	1461
205	6691	1429
206	6726	1397
207	6759	1364
208	6791	1332
209	6823	1299
210	6857	1267
211	6889	1234
212	6922	1202
213	6952	1169
214	6984	1137
215	7015	1104
216	7049	1071
217	7080	1039
218	7113	1006
219	7147	974
220	7178	941
221	7210	909
222	7242	876
223	7274	844
224	7304	811
225	7332	778
226	7365	746
227	7396	713
228	7425	680
229	7454	648
230	7485	615
231	7518	583
232	7550	550
233	7581	518
234	7614	486
235	7647	453
236	7681	421
237	7710	388
238	7744	356
239	7782	324
240	7814	291
241	7845	259
242	7877	226
243	7913	194
244	7950	162
245	7984	129
246	8019	97
247	8053	64
248	8088	32
249	8121	0
